name,language,commits,watch_count
cSploit/android.MSF,Ruby,709,2
prebid/Prebid.js,JavaScript,437,117
hajimehoshi/ebiten,PHP,411,60
MyRobotLab/myrobotlab,Java,321,17
elki-project/elki,Java,275,41
ganga-devs/ganga,Python,487,13
caskdata/cdap,Java,298,33
evernym/zeno,Python,288,9
Singly/hallway,JavaScript,219,6
docker/go-connections,PHP,256,17
assemblymade/meta,Ruby,185,9
ringcentral/ringcentral-js-widget,JavaScript,257,2
koala-framework/koala-framework,PHP,198,4
matrix-org/matrix-android-sdk,Java,197,10
eventespresso/event-espresso-core,PHP,1223,10
ekylibre/ekylibre,Ruby,559,19
pypa/setuptools,Python,400,49
luci/luci-py,Python,287,7
gitlabhq/omnibus-gitlab,Ruby,244,14
mdaniel/svn-caucho-com-resin,Java,188,3
FriendsOfPHP/PHP-CS-Fixer,PHP,520,534
smartdevicelink/sdl_android,Java,189,22
sharelatex/sharelatex,JavaScript,250,351
simpeg/simpeg,Python,208,4
Adobe-Consulting-Services/acs-aem-commons,Java,204,27
zendframework/zend-barcode,PHP,199,9
chapmanb/bcbio-nextgen,Python,199,53
TryGhost/Ghost,JavaScript,1106,2045
Azure/azure-sdk-for-java,Java,783,29
00-Evan/shattered-pixel-dungeon,Java,501,36
Automattic/amp-wp,PHP,256,450
symfony/dependency-injection,PHP,248,9
